iteration,ratio_near,mean_abs_position,gbest_position,gbest_value
0,0.1,5.4790866005785075,0.25940910459063815,0.06729308354451664
1,0.35,1.8667216675613787,0.25940910459063815,0.06729308354451664
2,0.25,2.6705283394202253,0.058470112590311984,0.00341875406632376
3,0.2,2.4973075692802835,0.058470112590311984,0.00341875406632376
4,0.25,2.6274077529276765,0.058470112590311984,0.00341875406632376
5,0.45,1.5627026704060563,0.058470112590311984,0.00341875406632376
6,0.3,2.3538689588373916,0.008886489165310874,7.896968968518755e-05
7,0.4,1.8235712957566794,0.008886489165310874,7.896968968518755e-05
8,0.6,1.8382063418390888,0.00525113959214768,2.7574467016220903e-05
9,0.6,1.5700236536399461,0.00525113959214768,2.7574467016220903e-05
10,0.65,1.638191074948681,0.00525113959214768,2.7574467016220903e-05
11,0.7,0.9246804767566644,0.004598188093520417,2.1143333743392925e-05
12,0.6,1.1406297372968754,0.004598188093520417,2.1143333743392925e-05
13,0.8,0.8187615251775355,0.004598188093520417,2.1143333743392925e-05
14,0.75,0.7936844433396968,0.001252836551113523,1.5695994238060273e-06
15,0.8,0.799098162049446,0.001252836551113523,1.5695994238060273e-06
16,0.85,0.8020065086824516,0.001252836551113523,1.5695994238060273e-06
17,0.85,0.6846177570889849,0.001252836551113523,1.5695994238060273e-06
18,0.85,0.5008991861057487,0.001252836551113523,1.5695994238060273e-06
19,0.8,0.520584180861189,0.001252836551113523,1.5695994238060273e-06
20,0.9,0.4945476682110742,0.001252836551113523,1.5695994238060273e-06
21,0.9,0.4862613841209481,0.0006581270512772686,4.331312156229125e-07
22,0.9,0.33067282384460944,0.0006581270512772686,4.331312156229125e-07
23,0.9,0.41646227463999824,0.0006581270512772686,4.331312156229125e-07
24,0.85,0.30736293594962166,0.0006581270512772686,4.331312156229125e-07
25,0.95,0.33096439785468845,0.0006581270512772686,4.331312156229125e-07
26,1.0,0.17966497558714695,0.0006581270512772686,4.331312156229125e-07
27,0.95,0.24906370527546834,0.0006581270512772686,4.331312156229125e-07
28,0.95,0.28516707670070185,0.0006581270512772686,4.331312156229125e-07
29,0.95,0.25657967419963257,0.0006581270512772686,4.331312156229125e-07
30,0.95,0.18829116731687714,0.0006581270512772686,4.331312156229125e-07
31,0.95,0.26549503640723104,0.0006581270512772686,4.331312156229125e-07
32,0.95,0.2470792303630842,0.0006581270512772686,4.331312156229125e-07
33,0.95,0.2902854759809279,0.0006581270512772686,4.331312156229125e-07
34,0.95,0.20165426351747784,0.0006581270512772686,4.331312156229125e-07
35,0.95,0.1669315313651722,0.0006581270512772686,4.331312156229125e-07
36,0.95,0.2093453380601206,0.0006581270512772686,4.331312156229125e-07
37,0.95,0.21221021936637946,0.00038414465431721716,1.4756711544049428e-07
38,0.95,0.1676822723885312,0.00038414465431721716,1.4756711544049428e-07
39,0.95,0.1354031672695278,0.00038414465431721716,1.4756711544049428e-07
40,1.0,0.08135587283457094,0.00038414465431721716,1.4756711544049428e-07
41,0.95,0.19114803292766644,1.2051639883172392e-05,1.4524202387367146e-10
42,0.95,0.12711729785139944,1.2051639883172392e-05,1.4524202387367146e-10
43,1.0,0.09014678715963811,1.2051639883172392e-05,1.4524202387367146e-10
44,0.95,0.15129126034059856,1.2051639883172392e-05,1.4524202387367146e-10
45,1.0,0.06641412501133319,-1.086493644403318e-05,1.1804684393288038e-10
46,0.95,0.15017185359523644,-1.086493644403318e-05,1.1804684393288038e-10
47,1.0,0.07741202610442538,-1.086493644403318e-05,1.1804684393288038e-10
48,1.0,0.036597106503788376,-1.086493644403318e-05,1.1804684393288038e-10
49,1.0,0.04112453730937241,-1.086493644403318e-05,1.1804684393288038e-10
50,1.0,0.03871720167331824,-1.086493644403318e-05,1.1804684393288038e-10
51,1.0,0.03932881213766084,-1.086493644403318e-05,1.1804684393288038e-10
52,1.0,0.043087156538500405,-1.086493644403318e-05,1.1804684393288038e-10
53,1.0,0.02037195795145246,-1.086493644403318e-05,1.1804684393288038e-10
54,1.0,0.03543625487254844,-1.8957914167267711e-06,3.594025095734898e-12
55,1.0,0.027620818721692236,-1.8957914167267711e-06,3.594025095734898e-12
56,1.0,0.014517389372479702,-1.8957914167267711e-06,3.594025095734898e-12
57,1.0,0.024865330989405528,-1.8957914167267711e-06,3.594025095734898e-12
58,1.0,0.0071397196377500655,-1.8957914167267711e-06,3.594025095734898e-12
59,1.0,0.019130180376905496,-1.8957914167267711e-06,3.594025095734898e-12
60,1.0,0.007737206751266025,-1.8957914167267711e-06,3.594025095734898e-12
61,1.0,0.012469711434129184,-1.8957914167267711e-06,3.594025095734898e-12
62,1.0,0.005977525086439612,-1.8957914167267711e-06,3.594025095734898e-12
63,1.0,0.008115545568023987,-1.8957914167267711e-06,3.594025095734898e-12
64,1.0,0.005727044015768566,-1.8957914167267711e-06,3.594025095734898e-12
65,1.0,0.005749292638299759,-1.8957914167267711e-06,3.594025095734898e-12
66,1.0,0.0030010475670308205,-1.8957914167267711e-06,3.594025095734898e-12
67,1.0,0.005156511703030249,-1.8957914167267711e-06,3.594025095734898e-12
68,1.0,0.003901135640837153,-1.8957914167267711e-06,3.594025095734898e-12
69,1.0,0.002967699484851388,-1.8957914167267711e-06,3.594025095734898e-12
70,1.0,0.004434638306617078,-1.8957914167267711e-06,3.594025095734898e-12
71,1.0,0.0027424231407549237,-1.8431659322615859e-06,3.3972606538497208e-12
72,1.0,0.0030590456214278404,-1.8431659322615859e-06,3.3972606538497208e-12
73,1.0,0.0023405507886959604,-1.8431659322615859e-06,3.3972606538497208e-12
74,1.0,0.0017084864766250482,-1.8431659322615859e-06,3.3972606538497208e-12
75,1.0,0.002080681257300749,-1.8431659322615859e-06,3.3972606538497208e-12
76,1.0,0.0015008643092297817,-1.8431659322615859e-06,3.3972606538497208e-12
77,1.0,0.0017977844001908865,-1.8431659322615859e-06,3.3972606538497208e-12
78,1.0,0.0012338372838942265,-1.8431659322615859e-06,3.3972606538497208e-12
79,1.0,0.001065407709727812,-1.8431659322615859e-06,3.3972606538497208e-12
80,1.0,0.0005642636035055499,-1.1183718865107338e-06,1.2507556765375776e-12
81,1.0,0.0008567912657733552,-1.1183718865107338e-06,1.2507556765375776e-12
82,1.0,0.0005155884481041987,-1.1183718865107338e-06,1.2507556765375776e-12
