iteration,ratio_near,mean_abs_position,gbest_position,gbest_value
83,1.0,0.000727406594381231,-1.1183718865107338e-06,1.2507556765375776e-12
84,1.0,0.00044486043495474165,3.334725061181313e-07,1.1120391233670713e-13
85,1.0,0.0005486850162972735,3.334725061181313e-07,1.1120391233670713e-13
86,1.0,0.00041703551644267157,3.334725061181313e-07,1.1120391233670713e-13
87,1.0,0.00041972431328653247,3.334725061181313e-07,1.1120391233670713e-13
88,1.0,0.0002235570921112357,-1.4388049463465329e-07,2.0701596736312494e-14
89,1.0,0.0003567283969533526,-1.4388049463465329e-07,2.0701596736312494e-14
90,1.0,0.00017924666309349576,-1.4388049463465329e-07,2.0701596736312494e-14
91,1.0,0.00026728615769559556,-1.4388049463465329e-07,2.0701596736312494e-14
92,1.0,0.0002050303131045079,-1.4388049463465329e-07,2.0701596736312494e-14
93,1.0,0.00024721100480256953,-1.2466612494457794e-07,1.5541642708697116e-14
94,1.0,0.00022417119607567675,-1.2466612494457794e-07,1.5541642708697116e-14
95,1.0,0.0002896488219382684,-1.2466612494457794e-07,1.5541642708697116e-14
96,1.0,0.00028153150977008016,-1.2466612494457794e-07,1.5541642708697116e-14
97,1.0,0.00015111754568066435,-5.128311326076773e-08,2.6299577057167313e-15
98,1.0,0.00022403487589513086,-5.128311326076773e-08,2.6299577057167313e-15
99,1.0,0.00011447056530269783,-1.41254089685655e-09,1.9952717852923065e-18
100,1.0,0.00016961265865209134,-1.41254089685655e-09,1.9952717852923065e-18
