w,c1,c2,num_particles,max_iterations,trial,target_iteration,status
0.7,1.5,1.5,20,100,17,29.0,Reached
0.7,1.5,1.5,20,100,18,21.0,Reached
0.7,1.5,1.5,20,100,19,21.0,Reached
0.7,1.5,1.5,20,100,20,16.0,Reached
0.7,1.5,1.5,20,100,21,23.0,Reached
0.7,1.5,1.5,20,100,22,25.0,Reached
0.7,1.5,1.5,20,100,23,16.0,Reached
0.7,1.5,1.5,20,100,24,18.0,Reached
0.7,1.5,1.5,20,100,25,24.0,Reached
0.7,1.5,1.5,20,100,26,17.0,Reached
0.7,1.5,1.5,20,100,27,26.0,Reached
0.7,1.5,1.5,20,100,28,18.0,Reached
0.7,1.5,1.5,20,100,29,20.0,Reached
0.7,1.5,1.5,20,100,30,16.0,Reached
0.9,1.5,1.5,20,100,1,,Not reached
0.9,1.5,1.5,20,100,2,,Not reached
0.9,1.5,1.5,20,100,3,,Not reached
0.9,1.5,1.5,20,100,4,,Not reached
0.9,1.5,1.5,20,100,5,,Not reached
0.9,1.5,1.5,20,100,6,,Not reached
0.9,1.5,1.5,20,100,7,,Not reached
0.9,1.5,1.5,20,100,8,,Not reached
0.9,1.5,1.5,20,100,9,,Not reached
0.9,1.5,1.5,20,100,10,,Not reached
0.9,1.5,1.5,20,100,11,,Not reached
0.9,1.5,1.5,20,100,12,,Not reached
0.9,1.5,1.5,20,100,13,,Not reached
0.9,1.5,1.5,20,100,14,,Not reached
0.9,1.5,1.5,20,100,15,,Not reached
0.9,1.5,1.5,20,100,16,,Not reached
0.9,1.5,1.5,20,100,17,,Not reached
0.9,1.5,1.5,20,100,18,,Not reached
0.9,1.5,1.5,20,100,19,,Not reached
0.9,1.5,1.5,20,100,20,,Not reached
0.9,1.5,1.5,20,100,21,,Not reached
0.9,1.5,1.5,20,100,22,,Not reached
0.9,1.5,1.5,20,100,23,,Not reached
0.9,1.5,1.5,20,100,24,,Not reached
0.9,1.5,1.5,20,100,25,,Not reached
0.9,1.5,1.5,20,100,26,,Not reached
0.9,1.5,1.5,20,100,27,,Not reached
